text,label,label2,to be removed,merged_labels
"RT @MSolidarites: 🔥 C'est aujourd'hui 🔥
 
 Rendez-vous à 11h Porte de la Chapelle pour la Journée internationale des migrant·e·s : Manifestat…",None,None,,None
@ptiloup44 @CarrPatrick2 Pourquoi MENTEZ-VOUS en l'accusant de harcèlement ce qui est de la pure diffamation ? Il n… https://t.co/Q7f1yD0tR5,harassement,Harassment,,Harassment
RT @RAbsolument: Espagne : Un migrant Marocain détruit une crèche de Noël à Calahorra au marteau https://t.co/0AaQRL4Iws,None,None,,None
@ajplusfrancais Comment un migrant arrivant d'Algerie peut être discriminé en France et surtout dans le 9-3 ?,None,Racism,,Racism
@Charononia Gros cadeau ça !,None,None,,None
"Putain, qu'est-ce ce que tu me manques. La vie, la pute. https://t.co/RABhpDWMbD",None,None,,None
@F_Desouche Encore un patrimoine qui va partir en fumée. J’espère qu’ils ont prévu une salle de prière islamique ! #stopimmigration #Migrant,,None,,None
@RFI Seuls les gros connards vont regarder ce lamentable spectacle de la honte.,,Insult,,Insult
"@lestrepublicain - gros con.
 - ordure
 - fumier
 - inhumain
 - complice de crimes
 
 #deRien",Insult,Hate speech,,Hate speech
"RT @MSolidarites: 🔥 C'est aujourd'hui 🔥
 
 Rendez-vous à 11h Porte de la Chapelle pour la Journée internationale des migrant·e·s : Manifestat…",None,None,,None
⚪Ⓜ️ Argentine-France : gros déséquilibre en tribune #TeamOM 👇 https://t.co/TLI10fEL2W,None,None,,None
Argentine-France : un troisième titre qui peut rapporter gros #Girondins https://t.co/EChAX8DSlp,None,None,,None
"RT @F_Desouche: Cabriès (13) : une étudiante de 22 ans qui venait de terminer son service à Burger King, poignardée à mort sans raison par…",None,None,,None
"RT @menton_z: En Espagne, à #Calahorra, un migrant marocain détruit la crèche de Noël au marteau : il faut arrêter de croire que ces destru…",None,None,,None
RT @Jen_Cleopatra: A quand une miss France avec des gros boobs pour que je me sente enfin représentée ? 😝,None,Sexual Harassment,,Sexual Harassment
@EmmanuelMacron Putain mais occupe toi plutôt de tes concitoyens qui crèvent de froid dand ton pays gros c'est ton… https://t.co/bT7DEpNqFg,,None,,None
@GilbertCollard Il est rudement physionomiste celui qui a reconnu un migrant marocain 😂,,None,,None
"@ericvidalenc Petit rappel : faut écouter la vidéo avant d'en écrire une critique
 
 Sinon on passe pour un gros débile",None,Insult,,Insult
"RT @TrashTalk_fr: Ja Morant, victime de l’expulsion la plus débile de l’année en NBA : parler à un fan, c’est désormais condamné https://t.…",None,None,,None
RT @Monsieurbai: Finale de la coupe du monde : vais je boycotter ou aller voir le match comme un gros lâche ? Réponse dans mon billet du jo…,None,None,,None
@jmyremets T’es vraiment un gros con débile dangereux ⚠️,Insult,Hate Speech,,Hate Speech
"RT @norabz: eh beh, un bon gros pavé réactionnaire sur la bouffe (ça commence au dixième paragraphe, cherchez ""inattendu"" dans la page), ça…",,None,,None
Comment je me suis disputée : « Mon beau-père me traite de connasse et de bonne à rien au repas de Noël »… https://t.co/biQO9OYO1J,Insult,Insult,,Insult
@FilSport @insta360 Bonjour je participe et je croise mes gros doigts boudinés. 🤞,None,None,,None
"@GastonTrougnard Je ne remercie quasiment jamais, hormis quand un automobiliste me laisse enfin passer sur un gros… https://t.co/uDYcEPLR3y",,None,,None
@velma_bella @Hubert_de_la_B achète plutôt un gros pull et fonce t'offrir cette putain de console bordel !,,Insult,,Insult
@GilbertCollard Maître Collard comment pouvais vous certifier que cette individu est un migrant et aussi un marocai… https://t.co/ifiDNrTKRZ,,None,,None
@dr_l_alexandre @moderna_tx gros mensonges Stop fake..en tous les cas pour le covid après pour le cancer pourquoi p… https://t.co/28DrAAt0cY,,None,,None
"RT @kisscoo65376227: Il y a vraiment de gros problèmes d’attente pour les métros et les bus en particulier !
 
 Que prévoyez-vous concrètemen…",None,None,,None
@publicsenat @AQuatennens @MathildePanot Elle est conne ou elle fait semblant ?? À moins qu'elle ne soit atteinte d… https://t.co/pxubN7uNAq,,None,,None
RT @carolinedehaas: Vous semblez également découvrir que des militants insoumis harcèlent les personnes qui ne sont pas d’accord avec la li…,,Hate speech,,Hate speech
"@EmmanuelMacron T'as une capacité extraordinaire à l'incohérence
 Tu t'en fouts des pauvres qui sont morts pour cons… https://t.co/8fxMGyZiOS",,Hate speech,,Hate speech
Finale de la coupe du monde : vais je boycotter ou aller voir le match comme un gros lâche ? Réponse dans mon bille… https://t.co/FsdUZKsD7G,,None,,None
"RT @MllerQuentin: Volet N*5 et dernier - ITW de Zyad Ibhais, frère de l'embastillé Abdullah, ancien chef des relations médias de l'orga de…",,None,,None
"RT @le_Parisien: Bonjour et bienvenue dans ce direct consacré à la guerre en Ukraine
 
 - Samedi, de nouvelles frappes russes ont fait cinq m…",None,None,,None
"RT @realmarcel1: L’enchaînement du gros plan sur l’énorme lustre allumé en pleine journée et « la sobriété, ça fonctionne » dans cette vidé…",,None,,None
"Au 1er tour, le public accorde 120 points et le jury, de par ses égalités, 134 points. On est sur un 53%-47% au lie… https://t.co/HxS6fGPVzg",,None,,None
"RT @realmarcel1: L’enchaînement du gros plan sur l’énorme lustre allumé en pleine journée et « la sobriété, ça fonctionne » dans cette vidé…",None,None,,None
"RT @MSolidarites: 🔥 C'est aujourd'hui 🔥
 
 Rendez-vous à 11h Porte de la Chapelle pour la Journée internationale des migrant·e·s : Manifestat…",None,None,,None
"Kendji Girac, gros malaise au sacre d’Indira Ampiot Miss France 2023 https://t.co/cOL0Lungv6",None,None,,None
"un de mes premiers souvenirs de foot, la main de Marius Trésor face à l'Argentine en 1978 et un gros sentiment de s… https://t.co/rEXxKMEoNd",None,None,,None
"@Leni_6700 laisse moi deviner, tu es un gros groomer sur son SUV qui pense avoir acheté la route et menace piétons et cyclistes. J'ai bon ?",None,Denigration,,Denigration
@PCSFMINFO Oui nous c'est pareil. La petite est hyper déçue bref c'est vraiment un gros gâchis. Désolée pour toi ❤️,None,None,,None
RT @maillebi: Halte au harcèlement du patriarcat des vieux mâles blancs! https://t.co/Xn1ChfU4zx,,Harassment,,Harassment
"RT @realmarcel1: L’enchaînement du gros plan sur l’énorme lustre allumé en pleine journée et « la sobriété, ça fonctionne » dans cette vidé…",None,None,,None
"@lain_philippe @BatmanPSG69 @realmarcel1 Et tu crois que le travail c'est la seule raison de sortir de chez soi?
 Je… https://t.co/dThD30ddQL",None,None,,None
@dcrossbowxxx Attention Whore : la définition la plus vulgaire selon Wikipedia : « Personne ayant un besoin pathéti… https://t.co/nloKiicCoa,None,Hate speech,,Hate speech
et puis flemme à part si la personne est de sexe masculin grande et a des gros bras là dans ce cas ça me dérange pa… https://t.co/exK0tRoWtg,Sexism,Denigration,,Denigration
Que les gros racistes se soutiennent entre eux c’est très bien,None,Racism,,Racism
"@GilbertCollard Toujours dans la division 
 Un migrant qui a parcouru mer et terre pour se mettre à l'abri n'a vraim… https://t.co/lmGrpBItuE",None,None,,None
@Yumekoala1 @hvt_louis @danivempire666 Juste n'importe quoi. Un gros pc ou tu veux faire tourner les derniers jeux… https://t.co/P8CI5iWdrA,Bullying,None,,None
"RT @pbeyssac: Ironie, ce qui est présenté comme une approche essentiellement ""non marchande"" est en fait la copie de l'approche ultra-march…",None,None,,None
"@felhagehistoire @Taigasangare @JTram_ Ce n'est PAS une question de pincement au cœur, enfin ! C'est une question d… https://t.co/NG0uwR4ec8",None,None,,None
"RT @fedoriphore: À l’approche de Noël et pour clore 2022, dans un soucis d’apaisement je viens de débloquer un gros paquet de comptes de g…",None,None,,None
@Dauvers70 @Danone_Yaourt Il y a quand même un gros problème d’hygiène avec ce vrac. Et personne n’essaie de le résoudre.,Hate Speech,None,,None
@jmaphatie @AQuatennens @FranceInsoumise Signalé pour harcèlement !,None,Harassment,,Harassment
@Raslebo75750522 @jmaphatie @AQuatennens @FranceInsoumise A chaque fois je le signale pour harcèlement !,None,Harassment,,Harassment
"RT @Haut_Rhinois: Voilà pourquoi #Macron a reculé le debat sur l'age de départ de la retraite : +4% de ""mécontents"" et +6% de très ""méconte…",None,None,,None
"Samsung ils sont trop mignons. Ils font une pub pour le z flip 4 à la télé, mais ils sont même pas capables de suiv… https://t.co/Rj4kSkf54h",None,None,,None
"RT @EELVPB: MANIFESTATION A BAYONNE, LE 17 DECEMBRE A 11H POUR LA REGULARISATION DES SANS-PAPIERS ET POUR L'EGALITE DES DROITS.
 En réponse…",None,None,,None
"RT @EelvGironde: Les écologistes appellent à se joindre à la manifestation prévue ce dimanche 18 décembre à 14h, place de la Victoire pour…",None,None,,None
"RT @lae_gmz: « j’suis attachée mais t’es un Renoi, t’es pas musulman, tu pries pas tu préfère dealer » mais pitié qui gère la musique de We…",Racism,Racism,,Racism
"RT @FerrariF1FRA: 🔴 THREAD sur les nouveautés attendues sur la Ferrari 2023 :
 
 - Différences visibles sur les côtés et la partie arrière.
 -…",None,None,,None
"@hex4647 @Venivedivici16 @msmontfort Oh le joli amalgame migrant/prison
 Très bien placé JV",Racism,None,,None
"RT @AmnestyLux: La Journée internationale des migrant·e·s, c'est aujourd'hui 👉 nous vous invitons à en apprendre plus sur ce dossier, en li…",None,None,,None
"RT @BFMTV: ""L'Argentine, ça va être un gros morceau""
 
 Alain Giresse, ancien footballeur de l'équipe de France, est à Doha pour soutenir les…",None,Hate Speech,,Hate Speech
@KARLOLIVE Traduction : on aménage des logements pour migrant,None,None,,None
"🔴L'homme aux plus gros testicules du monde, se les est fait enlever https://t.co/hQYZW3Q5KG",None,None,,None
RT @FFLose: Ça parle de Varane et Konaté malades mais le vrai gros risque c’est que la chatte à DD choppe le fameux virus. Tant qu’elle ser…,None,None,,None
"RT @eric_gernez: Opinion : Interdiction de l’utilisation du mot nègre
 ""avec l’interdiction du mot nègre, une culture est blanchie à la chau…",Racism,Racism,,Racism
@MathieuSlama Non on assiste d'abord à la violence croissante de #Migrant et #musulmans dissimulée par vos amis de… https://t.co/XmRZNl7D9g,Hate Speech,None,,None
@ralifromparis @tvlofficiel C’est surtout choquant de mettre des migrant là-bas alors que des sdf français n’ont pas d’hébergement…,None,None,,None
@Trouillet_ J’aurais voulu qu’il mette son gros fiak aussi,Bullying,None,,None
"RT @BFMTV: ""L'Argentine, ça va être un gros morceau""
 
 Alain Giresse, ancien footballeur de l'équipe de France, est à Doha pour soutenir les…",None,None,,None
"RT @realmarcel1: L’enchaînement du gros plan sur l’énorme lustre allumé en pleine journée et « la sobriété, ça fonctionne » dans cette vidé…",None,None,,None
@silkcoleman1 @lasource75006 T’es complément debile toi heureusement que toute la France n’est pas comme toi,Bullying,Hate speech,,Hate speech
@plaisirdouble3 Coucou très belle gros bisous ❤️,None,Sexual Harassment,,Sexual Harassment
@sof_l4 @flo_thm Euh .. tu vis dans quel monde espèce de sombre connasse ?? Allez vas te balader dans le 93 et vas… https://t.co/V1LsjExSkB,Racism,Insult,,Insult
"@Maxou_LaMenace Je suis très contente pour toi, aujourd'hui un gros suspens avec le match des bleus ! je bois le ca… https://t.co/8h7TPx8U0Z",None,None,,None
RT @MarleneSchiappa: Le harcèlement en meute infligé par des militants à une femme qui a simplement osé faire valoir son droit à vivre sans…,None,Harassment,,Harassment
"@AfterRMC @walidacherchour Tkt gros, l Algérie ne sera jamais en finale de cdm donc tu n'auras pas à choisir",Racism,Denigration,,Denigration
"RT @Choubouloute_: Chaque année notre miss passe pour une débile parce qu’elle ne sait pas s’exprimer et ça ne dérange pas le comité, proba…",Bullying,Insult,,Insult
@FlowSama3 @RMCsport L'infâme fils de pute broie ta soeur sale raciste,Hate Speech,Hate speech,,Hate speech
@tvlofficiel Pauvre débile ! Qu ils aillent se faire foutre les migrant c hors de France point.,Racism,None,,None
@LepretreTony … que vous êtes immonde. Vous avez oublié de mentionner le cannibalisme de petits enfants par l’Ukrai… https://t.co/krh1dFbD91,Hate Speech,Insult,,Insult
"RT @MSolidarites: Dimanche 18 décembre à Paris, nous manifesterons au départ de la Porte de la Chapelle à 11h, devant l’un des plus grands…",None,None,,None
"RT @xXGorkXx: J'aimerais tellement connaître l'humain ou l'humaine qui a fait ça pour les chats qui vivent dehors, juste pour lui faire un…",None,None,,None
"#migrant sauvés...fait chié !
 
 https://t.co/kfJqJOKfPL",Racism,None,,None
"""L'Argentine, ça va être un gros morceau""
 
 Alain Giresse, ancien footballeur de l'équipe de France, est à Doha pour… https://t.co/IRA9WdDFNh",None,None,,None
"✊ A tout à l'heure à la manif de la #journée internationale des #migrants.
 Pour #Montpellier le rdv est à 11h place… https://t.co/8kutMwEUnK",None,None,,None
"🔥 C'est aujourd'hui 🔥
 
 Journée internationale des migrant·e·s 
 
 Contre Darmanin et son monde : Solidarité, Liberté,… https://t.co/OtMS9WvPU0",None,None,,None
Une villa inhabitable suite à un gros incendie ce dimanche matin à Saint-Sauveur https://t.co/xbBYCqhrOY https://t.co/HOky7iE5Zs,None,None,,None
"@AlexisPhilo En gros, Lyon / Lyon ...
 Pas très mobile le monsieur 😁😁",None,None,,None
"18 décembre. Aujourd'hui c'est la journée internationale des migrant.e.s. Alors, exigeons la régularisation général… https://t.co/klmG1WuTXo",None,None,,None
"RT @realmarcel1: L’enchaînement du gros plan sur l’énorme lustre allumé en pleine journée et « la sobriété, ça fonctionne » dans cette vidé…",None,None,,None
@Chtybou @bertrand_k @MaxPouss La commu du catch l'a rincé comme il fallait suite au harcèlement qu'il avait prit s… https://t.co/YrbHjWfKHO,None,None,,None
"RT @SebaouiHammou: L’enchaînement du gros plan sur l’énorme lustre allumé en pleine journée et « la sobriété, ça fonctionne » dans cette vi…",None,None,,None
@le_6e_homme Apparemment il a été victime d’une règle débile qui interdit les joueurs de parler aux fans. Cette NBA… https://t.co/bHkRWHyY2N,None,insult,,insult
@YvesDidier9 J'avoue. Un très gros village,None,None,,None
"RT @norabz: eh beh, un bon gros pavé réactionnaire sur la bouffe (ça commence au dixième paragraphe, cherchez ""inattendu"" dans la page), ça…",None,None,,None
@G_BRIFFAUD @GaliaAckerman @DariusRochebin Et ça vous y croyez les fils de pute ? https://t.co/EVrK4W2Zyg,Bullying,Insult,,Insult
"@KLeagueFr @JLeagueFra Shonan fait un très bon mercato, ils ont même réussi à renouveler Machino alors qu’il y avai… https://t.co/hwXf0Hno29",,None,,None
"RT @LeaFrct: Ma petite sœur de 20 ans étudie à #Bordeaux, elle vient de me raconter sa soirée après France-Maroc. Elle a croisé la route de…",,Sexual Harassment,,Sexual Harassment
"RT @Lass2fois: La 3e étoiles ou rien, fuck l’Argentine et ses gros suceurs",Hate Speech,Hate Speech,,Hate Speech
"RT @realmarcel1: L’enchaînement du gros plan sur l’énorme lustre allumé en pleine journée et « la sobriété, ça fonctionne » dans cette vidé…",,None,,None
RT @IlanLamar: @Cdanslair Le gros problème chère madame c’est que les populations sont de plus en plus informées et en plus ont eu accès au…,,None,,None
