text,Label
"- l'expérience des migrant·es avec @AntoineRoblain
https://t.co/x3KSTzppuj",None
"""Bonnes vacances avec les enfants ! Gros bisous"" https://t.co/5a9vADRtNQ",None
"""Chanter"" tu ne prie pas... un gros NTM SALE PVTE https://t.co/1wv7ZotG8y",Hate_Speech
"""Elle dit qu'il y a des place vacantes,quand on va voir ces places on te sort,soit qu'il faut faire un bac +30 avec… https://t.co/oGeVRu7q7U",None
"""Tout niquer"". c'est classique chez un adolescent de 14 ans.
C'est beaucoup plus problématique chez un vieux comme… https://t.co/AjXyUUhL3p",None
"#1BDparjour dimanche comics ras du front avec ""Ultimates : Ultimatum"" de  J.Loeb &amp; D.Finch.
Magnéto décide de détru… https://t.co/wPP9CQVoFv",None
"#CalendrierDeLAventKMuisic Au début J’avais mis « beau » mais tous les MV des gros labels sont beaux…🤔

Donc je vou… https://t.co/WfplLsb2g8",None
"#DeRugy… « fervent » écologiste, retourneur de veste patenté, tête a claque absolu et faux-cul intégral. En gros, u… https://t.co/SmU1pzyxuU",Hate_Speech
#FRAARG d'un côté des Argentins qui ont été favorisé par l'arbitre et triché à de nombreuses reprises + simulations… https://t.co/b0BK4KdhIC,None
"#KSPAvent j18 : Moche

BureauCraft Design présente : son dernier prototype de citerne de terrain. Très gros travail… https://t.co/X3uwb6nyFU",None
"#RDC 🇨🇩 les peuples d’abord mais c sont les politiciens qui ont des gros moyens et investissent à l’étranger 

Bo t… https://t.co/5SAND1tN1r",None
"#Ukraine Je continue ce matin à publier sur la bataille de Bakhmut et le reste du conflit.
C’est sur le gros (adres… https://t.co/6q66eGba9N",None
"#UnJeuParJour 18/12
Dimanche niveau expert😆
Mon préféré gros jeu, que tu ouvres quand il pleut (sigh) Tapestry💝
On… https://t.co/0G9n3a7y75",None
(4/4) Explore our quantitative data and expert analyses on migrant integration: https://t.co/VJQhQminAZ,None
(France 3): Solidarité. Un village se mobilise pour aider un réfugié ukrainien qui marche plus d'une heure chaque #… https://t.co/r4JW1bA9Bn,None
*poste SA MERE LES GROS DOIGTS,Sexism
"?idiote :

Pour cacher quoi au final ?
🤔
ses grandes oreilles ? 
ses grosses mains ? 
son gros menton ?
ses Cuisses… https://t.co/2edLiFunL8",Bullying
@__Verlaine__ @sandrousseau bourgeoise blanche hetero de gauche,Hate_Speech
@_Adamu Mais tu restes quand même un gros chômeur psk j'te vois partout mdrr,Bullying
@_AlexdeCastro_ C’est juste un gros con ! C’est pas un scoop !,Bullying
@_ano_nyme Einstein avec son gros cerveau,None
@_BeFootball @lequipe Donc en gros les français on na la preuve que sans l’immigration ils sont nul à chier 😂😂,Hate_Speech
"@_BeFootball Ça fait 10 ans que je suis contre la France, et comme à chaque défaite j’irais il hurler sur mon balco… https://t.co/bllFwFBlpF",None
@_BeFootball Désabonné vous de ce compte de fdp bandeur de fitna entre maroc et algerie la photo date de 2018 befoo… https://t.co/vKV5yQ40QH,Hate_Speech
"@_BMuani @FCNantes Quel gâchis, ces ventes de joueurs si talenteux : d'abord Emiliano qui se tue en avion et puis K… https://t.co/aazlET8ElB",None
@_Chokote_ @IamBowbee 2019 et ca rame deja ? Gros je pense qu’il faut penser à nettoyer ton ordi et alleger la memo… https://t.co/abUdvXAeL5,None
"@_D4SKY @tokhion Bouge, ton gros crâne là.",Bullying
@_laruelito @HenryJeanServat Non je parle du gros con avec ses chemises provençales,Hate_Speech
@_NarutoSensei_ @HFS_TKO C'est un gros raciste,Hate_Speech
@_noat__ 100% elle pense qu’elle est en bonne santé cette grosse vache,Bullying
@_notcb97 tu stan le grp dla honte tsais la meuf qui passe de skz aux plus gros flops dla terre,Hate_Speech
@_Oxunior_ Ahhh gros,None
@_Oxunior_ PTDRRRRRR JE SUIISS MORT LES TROIS TT MEME PAS NE GROS COMMENT TU PEUX SAVOIR,None
"@_Phoenixflame L'Écosse niveau paysage tu vas en prendre plein la vue, mais ça nécessite un gros budget. 
La Pologn… https://t.co/9n9wjC2xIk",None
@_zlpchris La folieeeee gros,None
@01Nass MDRR gros gros,None
@173ezks Elle s'est déjà corrigé gros con,Bullying
"@1948BettyBoop Bonjour Alicia bon dimanche et gros bisous 🎁😘🎅🌲🤶
Moi aussi je pense à l'#Ukraine 🇺🇦. Espérons qu'il… https://t.co/F1ypUMxqWT",None
@22feno Gros 1vs1 au abord de la surface les anciens en spectateur https://t.co/yN1JHoeogQ,None
@22h22l_ des gros câlins.,None
@22Wiper @99itskeeee @ai_cha223 « Peuple » pourtant tu dis frère « fi Allah » donc le peuple noir ça veut dire quoi… https://t.co/BayvE0WU0d,Racism
@22Wiper @ai_cha223 @99itskeeee T’es vraiment débile relis tes propres tweets sale imbécile,Hate_Speech
@22Wiper @ai_cha223 @99itskeeee Tu t’es juste contredis à chaque fois espèce de débile arrête c’est mieux,Bullying
@22Wiper @haaw_s @99itskeeee Dans tout les cas c’est un homme donc ce n’est pas de l’autodérision qu’est-ce que tu… https://t.co/f8S8jI4Nki,None
@22Wiper C’est pas de l’autorisions PUISQUE C’EST UN HOMME wsh t’es vraiment débile,Bullying
"@2C4STHEETERNAL j'ai pas posté sur mon acc a moi, en gros c'est perdu dans les filtes de ao3 à jamais lmaoo comme ç… https://t.co/SVyYVaUc1X",None
"@3temps0 Ça dépend 
T’a les kurdes c’est pour une autonomie/indépendance 
Ta les femmes c’est pour plus d’obligatio… https://t.co/Z3gA8LjrXf",Sexism
@444kto Son gros cacasque et tout nn vrm,Bullying
"@6Yey_ @NoahRob32577936 @TIGERM0NSTER @ZacketNem @LeoTechMaker Arrondir au 1/2 ???
Même en chimie on a pas d'aussi gros arrondi bancal mdrr",None
@7heungmin C’est la raison enft vu que elle même a dit qu’elle voulait pas qu’ils sachent son âge etc mais dsl quan… https://t.co/lj9HL9OC03,None
@7vidala c’est pas vraiment une renoi hn,Racism
@8Huit__ @10yvsuke Tu te stérilises en gros,None
@93scret toi même t’es gros non mais le csc quoi,Bullying
@94ALWAYSL0U il a fait un arrêt à Rennes et en gros deux trains devaient se détacher ( un part à Quimper et l’autre… https://t.co/VOC3rfQT3c,None
@98solene @amy_galsen95 Vous faite Pitié avec vos indignités à géométrie variable ! Tu veut crée une polémique tout… https://t.co/kGi8PQE3Zn,None
@99itskeeee @22Wiper @ai_cha223 Il se contredis en plus il est trop débile,Bullying
"@A_____Lee Oh tu es revenu pour la finale trop bien !!! 
Oui ça va mais j'ai un gros bleu sur le côté de la cuisse… https://t.co/HqvnnctWLz",None
@a37sn 104 matchs en 2 mois sale gros puant,Hate_Speech
@AbbaAliAlhadj1 @Peupah_Zouzoua C'est à cause des espèces comme vous que l'on insulte la veste!c'est ce que tu dira… https://t.co/YG2KFzFlXS,None
"@AbbaAliAlhadj1 @Peupah_Zouzoua Discours d’un gros pervers ,violeurs",None
@Abbefaria95 Nan ça c'est juste la discrimination gros 😅😅,None
"@abdlkareem14 @cryptoloser78 @ShadowDarkknig1 @Sopartytea @docnono2000 @DZFOOTBALLDZ Lâcher H24 des saloperie, c'es… https://t.co/JH9fWmM8Zo",Hate_Speech
@aboupanam95 Les gens font de qu’il veulent gros bouffon. Ça n’engage que toi qui tu veux supporter. Pauvre attardé.,Hate_Speech
@AbuAssiyah213 @akr_tkn wouaaah jsuis perdu en gros moi j’avais capté que tu me sortais cette expression parce qu’o… https://t.co/wATvHrQzPs,None
"@Acebabyface sinon les cités et les commentaires t'en a ouaaaaah celui qui a dit ""en tout cas en cas de guerre cont… https://t.co/QNDV0tQzqX",None
@Acermendax Je note que pour certain dénoncer un harcèlement c'est signe de collaborations ...  (Du coup pour avoir… https://t.co/NMQLAl9eje,None
"@achabus @CNEWS Il a vraiment une tête de rebeu 

Vu comme ça on dirai un membre de la fédération marocaine de foot… https://t.co/VkavRId5HQ",None
@achabus @CNEWS Je ne vois aucun représentant de la sociale démocratie sur ce plateau. Quand au guignol avec son gr… https://t.co/Vy49jbqDLk,None
@acormierd Ben alors on est un gros raciste 🤔😑🤮…,Racism
@Actu2OM Des fois faut juste fermer sa grande gueule de conne tu sais ?,Hate_Speech
@ActuFoot_ @Betclic arretez d’inciter aux paris sportifs bande de fils de pute,Hate_Speech
@ActuFoot_ @Betclic Raclé contre ce pays qui a réfugié des milliers de nazis et qui a décimé sa population noir.,None
@ActuFoot_ @Betclic Ya des Français qui supporteront la France au lieu de l’Argentine alors que c’est la dernière c… https://t.co/s5qnYbjleH,None
"@ActuFoot_ @RMCsport Il a bien raison de ne pas se rendre au quatar pour la finale, il a était mis à l'écart du gro… https://t.co/c0r6ZDjkXh",None
@ActuFoot_ @RMCsport Il avait probablement mieux à faire. Remater la vidéo de Valbuena en se tapant une pute mineure 😁,Sexism
@ActuFoot_ Il me fatigue lui gros boulard . Il y’en a qui et en on 7 et qui reste humble,None
@ActuMangas_ Oui donc en gros attention on aura un combat waouh l'info de de malade mental,None
@ActusPays Voir des gros nuls sortir les merdes ? Sans moi.,Bullying
@ACuteLtSombral @AHaillant @MaxYmeMusic Je suis pas ton psy gros. Si ça te fait rire les viols sur mineurs faut consulter.,None
"@Ad_vitam44_ @sandrousseau Le but, nous re re re re re prouver qu'il ou elle est conne...",Bullying
@Ad_vitam44_ Ah bon Victoria ♥️ mais non gros bisous 😘😘🇨🇵🙏🏻,None
"@Ad_vitam44_ Noël, la paix, le seigneur, et moi ont vous dit un gros VA TE FAIRE FOUTRE 
Mr Jacquemain ✝️✝️✝️✝️✝️",Hate_Speech
"@Adam931rs @rayenrdi2 ce renoi la , chaque tournois il est la ptdr jai retrouver des screen il était déjà a France-Hongrie a l'euro 🤣🤣",None
"@AdImmensum Et enfin, la fin m'a déçu.
 !!!! Spoil !!!!
J'avais vu plein de genre dire que le film était très trist… https://t.co/MoLwJK9ubI",None
"@adonis100_7 @ondroskotch @Footballogue ""nous alimente"" t'es le seul attardé a survendre l'Algérie hein",Bullying
@adventurtimefan En général tous les gros projet c la télé mais sur twitch,None
"@AfpFactuel Mais... si on envoie tous les automobilistes sur un trajet alternatif. En même temps.
Est-ce que ça dev… https://t.co/Unl8ozHF0Z",None
@Afrodite_Amour Et oui! On aime pas les gros cons!,Bullying
"@Afrodite_Amour Vas te faire enculer dans le métro oh petite pute que tu es !!!!
Vas te vendre une barrette dans un portail !!!",Hate_Speech
"@aicha_ken_ Elle a vu le gros fer nor , comment il carbure fort !😂 Mais gars easy c'est trop fort man!🙆🏾‍♂️",Sexism
@AidelZack nique t’as mère sale pute,Hate_Speech
@AidelZack Vu que tu me trouve trop grosse pour rester avec moi j'espère que tu finiras très gros et que des gens te feront la réflexion,Bullying
"@Aimezvousdave J'ai une collègue qui avait un défaut de prononciation : les s devenaient des t, sa mère l'appelait… https://t.co/stmPpPInxN",None
@Akhisan_ Bogoss le gros porc ✌️,Hate_Speech
@akrvvr_ jt’ai dis nan gros,Bullying
@albashkun74 en mode prendre le risque de sortir avec qlq de gros tout en sachant qu’en maigrissant ça va devenir une frappe,None
"@AldoRaiinee @808smag Gros, il est Trop Fort !",None
@ALeaument @mbompard oui la baisse du niveau d etudes est un fleau,None
@ALeaument T es un gros bouffon Antoine !!!!,Bullying
@ALeaument vous faîtes vos motions chacun de vos côtés c'est tellement débile au lieu de faire front commun contre… https://t.co/piop4yRKfG,None
"@AlessG9 @RAPTlME Mais fils de pute qui mange des chibres c’est écrit donner votre avis, j’ai du écouter plus de da… https://t.co/l4zEZBoFgy",Hate_Speech
"@AlessiaKarre Oui y a que toi. Ma mère nous a jamais donné de l’eau pure, on a toujours eu du sirop à table, et mes… https://t.co/k3m0DVnkLr",None
@Alexialinfirmi1 Bonjour un magnifique dimanche malgré le travail gros bisous 😘 😘 😘 😘,None
"@alexiscorbiere L'avantage d'être gros, c'est que si on s'assoit sur toi, tu peux pas te relever et tu meurs asphyx… https://t.co/qg9VSysphT",Bullying
"@Alexleserveur @OuestFrance Ça tombe pourtant sous le sens…
Et qu’entendez-vous par creux ? le harcèlement qu’elle… https://t.co/U6yjkDdMOJ",None
@alexmbre @biranendour21 @ThorfaIl_ @ActuFoot_ @lequipe Autant il casse les couilles mais parle bien du Sénégal fils de pute,Hate_Speech
"@AlfredDupont16 @antimacron_amgr Voilà, avec vous j'ai un bon exemple!
Je ne suis pas d'accord avec vous et je me f… https://t.co/j9rZhmUqzC",None
"@Ali_Rukaliza @IsmazosZgb 😂😂😂 les royaumes Kongo, Kuba, Luba, Lunda, ... existaient dans l'actuelle RDC pendant que… https://t.co/HDs9B8sZn3",None
"@AlorsDominique @GuillaumeTC Je sais que ce n'est pas un dindon gros nez mais ça te ressemble tant, mets ta photo c… https://t.co/SUTRAncY36",Bullying
@AlTi5 @ClosertoSpace @free Techniquement ils ont bien prévenu avant : il est bien indiqué que les Go de data à l'é… https://t.co/DqRNjwbKcv,None
@Alvisyma @L_ThinkTank Donc la Pologne envoie des armes à un pays qu'elle va envahir 4 mois plus tard ... ce qui es… https://t.co/hcXb7PW9ad,None
@alyahancock ah ouais en mode t’es une debile tkt jai capter,Bullying
"@Am4n0_ @KAGURAFFY Alors j'ai retraduit, il dit absolument pas ça. Le gars qui a tweet change la vrai tradiction. L… https://t.co/C1Q4KgqN5S",None
@AmauryBrelet J espère qu elle sera condamnée cette conne,Bullying
@ambree__mrs ftg tu portes l’œil toi à chaque fois sale pute,Sexism
@AMBROISEJr2 @LucaVaran @tikylol @fadelabdellaoui @parleluidemoi @sweetnshour @350uda c’est juste le plus gros suce… https://t.co/NAd1qQy37r,Sexism
